text,count
days,4
of,174
summer,438
written,2
by,45
scott,1
neustadter,1
michael,1
h,1
weber,1
first,14
draft,1
simple,2
black,8
on,165
white,4
credits,2
roll,2
to,402
big,11
star,2
s,433
i,440
m,85
in,230
love,46
with,107
a,391
girl,71
when,29
all,54
is,214
said,20
and,352
done,8
up,84
comes,12
single,4
number,3
parenthesis,1
like,74
so,65
ext,43
park,8
day,81
for,98
few,25
seconds,6
we,132
watch,7
man,13
woman,6
bench,6
their,13
names,1
are,81
tom,867
neither,3
one,46
says,13
word,10
close,2
her,110
hand,11
covering,1
his,122
notice,8
the,529
wedding,3
ring,3
no,81
words,3
spoken,2
looks,27
at,101
way,32
every,18
wants,3
be,50
looked,1
distinguished,1
voice,2
begins,10
speak,2
us,5
narrator,20
this,139
story,6
boy,11
meets,3
cut,37
int,102
conference,3
room,19
hansen,16
he,227
sits,24
very,18
long,11
rectangular,1
table,13
walls,3
lined,2
framed,2
blow,2
sized,2
greeting,5
cards,10
dark,1
hair,10
blue,3
eyes,9
wears,2
t,180
shirt,6
under,7
sports,3
coat,2
adidas,1
tennis,1
shoes,3
balance,1
out,74
corporate,1
dress,4
code,1
pretty,19
bored,4
margate,1
new,16
jersey,2
grew,3
believing,2
that,184
d,21
never,16
truly,1
happy,15
until,4
met,8
soulmate,1
living,2
pre,1
teen,1
alone,12
bed,9
engrossed,1
movie,16
covered,1
posters,3
obscure,1
bands,1
from,50
tv,4
hear,13
elaine,2
belief,2
stemmed,1
early,4
exposure,1
sad,4
british,1
pop,5
music,11
total,4
misreading,1
graduate,1
office,34
cubicle,12
present,1
finn,2
she,143
files,1
folders,1
answers,5
phones,1
plain,1
has,27
cropped,1
blonde,3
almost,7
but,71
face,21
feminine,1
enough,8
get,31
away,18
it,297
shinnecock,1
michigan,3
did,18
not,80
share,3
bathroom,4
teenage,2
stares,4
herself,3
mirror,4
extends,3
down,37
lower,1
back,44
since,7
disintegration,1
parents,2
marriage,1
only,15
loved,6
two,10
things,14
was,61
picks,7
scissors,1
counter,1
slice,1
second,11
how,41
easily,2
could,20
off,27
feel,15
nothing,32
splitscreen,4
boardroom,6
same,27
right,35
side,12
screen,6
continues,3
listen,6
some,36
boring,1
presentation,3
left,5
call,7
takes,17
message,1
walks,35
narrow,1
hallway,4
january,1
th,4
san,4
francisco,3
building,13
an,32
instant,1
will,10
know,89
been,32
looking,22
cu,33
opening,3
door,10
about,60
come,30
time,27
before,30
they,69
do,69
you,385
should,17
front,11
streets,1
fran,1
night,39
year,3
old,4
rides,1
bicycle,1
block,1
arrives,3
apartment,10
complex,4
jumps,2
bike,2
races,1
stairs,1
rings,4
doorbell,1
place,18
later,55
paul,71
mckenzie,114
open,5
these,16
best,10
friends,13
birth,1
doctor,2
hospital,2
scrubs,2
works,3
next,17
didn,14
who,29
else,14
removes,2
helmet,1
thing,19
where,28
kitchen,2
breaking,2
basically,3
going,21
insane,4
smash,2
plate,2
floor,5
interrupted,2
thomas,2
freezes,2
rachel,63
what,128
doing,8
here,34
help,13
me,86
put,2
slowly,3
obliges,1
now,48
sit,7
young,4
either,3
them,28
key,1
panic,2
think,33
gonna,12
sick,2
drink,7
hands,10
him,53
glass,2
water,1
drinks,4
vodka,2
grimacing,1
taste,2
more,31
gulps,1
another,19
does,14
mom,7
re,73
gotta,6
past,6
don,70
worry,2
start,8
beginning,1
tell,15
happened,12
deep,5
breath,5
eat,12
sandwiches,1
v,40
o,41
spent,2
whole,7
together,6
outdoor,3
market,3
walk,15
through,9
stalls,1
went,6
shopping,3
coffee,5
house,3
seated,1
outside,8
drinking,4
reads,7
newspaper,2
novel,3
had,13
theater,4
theatre,5
saw,4
film,3
record,3
store,5
shop,1
excitedly,1
shows,2
ringo,4
starr,2
solo,1
album,3
bought,1
thought,8
great,24
then,28
diner,3
booth,8
ordering,1
dinner,4
waitress,3
um,1
let,23
go,47
crazy,8
ll,20
have,57
both,14
god,10
eating,5
pancakes,3
greatest,2
ever,15
stop,11
seeing,2
each,7
other,20
as,72
just,79
say,41
why,32
whatever,9
normal,3
cares,2
aren,2
argue,1
such,5
lie,2
maybe,20
bad,8
mood,1
hormonal,1
p,1
pms,1
than,10
oh,32
my,48
please,2
continue,3
can,66
surprise,1
mean,22
ve,42
sid,5
nancy,3
months,6
stabbed,1
seven,3
times,2
knife,1
disagreements,1
hardly,3
vicious,1
beat,58
food,5
discussion,1
meal,1
served,1
leaves,2
starts,15
talk,15
after,10
starving,2
without,7
goes,7
watches,9
worst,3
travesty,1
history,3
mankind,1
mouth,1
full,3
mmm,1
disgust,1
may,11
