text,count
sex,27
and,692
the,1168
city,13
movie,3
written,9
by,46
michael,2
patrick,1
king,2
fade,2
in,374
a,746
ext,76
th,2
avenue,4
new,89
york,40
day,101
summer,49
glistening,1
buildings,1
reflect,1
onto,12
window,17
of,292
an,39
upscale,5
clothing,1
boutique,2
mannequin,1
is,340
wearing,41
best,9
everything,19
pretty,6
twenty,21
something,57
girl,20
looks,176
at,253
display,3
dreaming,1
carrie,1012
v,114
o,132
year,26
after,40
women,26
come,22
to,639
search,2
two,49
l,7
s,500
labels,3
love,77
tiffany,4
four,18
walk,30
away,51
from,79
us,28
arms,11
linked,2
laughing,9
they,99
make,34
their,42
way,34
down,79
busy,5
street,28
shopping,10
bags,8
designer,13
purses,5
swinging,4
young,2
reveal,7
bradshaw,18
fabulous,9
walking,10
towards,4
she,376
watches,16
them,47
as,123
pass,2
smile,17
grows,2
on,296
her,439
face,40
years,19
ago,9
i,729
was,108
one,67
walks,58
along,15
bag,6
int,183
apartment,94
closet,34
night,56
step,4
ladder,1
barefoot,3
finger,3
moves,16
series,3
shoe,5
boxes,12
having,20
gotten,2
knack,1
for,143
early,2
concentrated,1
my,126
club,4
fall,65
couples,7
everywhere,7
turns,31
out,157
knock,5
off,39
not,105
easy,3
spot,3
when,46
comes,38
passes,5
guy,12
huddled,1
very,32
close,14
together,15
suddenly,6
slaps,1
him,91
across,17
cont,202
d,244
until,5
it,446
reacts,8
trots,2
spring,33
preppy,3
perfect,9
charlotte,293
talking,18
that,199
why,25
you,525
need,23
help,5
jump,26
cut,30
miranda,403
lots,3
samantha,364
winter,43
front,57
building,26
typing,3
buliding,2
continuous,41
desk,14
computer,6
screen,6
single,15
girlfriends,3
were,31
salvation,1
colorful,4
chick,1
lit,4
book,15
cover,3
life,20
meal,3
ticket,1
standing,22
bed,39
placing,2
next,32
other,33
books,6
menhattan,1
framed,1
photo,8
girls,36
circa,1
also,6
shelf,6
picks,22
up,201
touches,3
sweetly,1
we,134
still,22
are,141
those,4
upper,4
fifth,8
sexy,7
dress,23
spots,14
someone,22
waves,6
even,27
though,2
technically,2
re,94
hurries,16
meet,13
brooklyn,14
house,31
backyard,1
brady,44
filling,3
inflatable,1
pool,2
with,183
water,16
hose,2
steve,95
approaches,4
popsicles,1
squirt,1
he,211
grabs,11
married,37
central,5
park,9
carousel,1
harry,46
beautiful,24
asian,1
daughter,2
lily,55
go,61
around,45
giggles,1
kvell,1
divorced,1
beachouse,17
deck,13
malibu,1
sits,51
near,7
white,8
bikini,1
huge,3
sunglasses,4
making,9
deals,1
phone,71
smith,63
lays,4
nearby,12
bathing,2
suit,12
reading,21
script,1
relocated,1
ave,4
same,7
over,95
into,59
mr,5
big,266
waiting,18
stayed,3
exactly,5
where,26
kiss,21
good,25
worth,1
see,43
turn,9
start,17
classic,3
doorman,3
tips,1
his,71
hat,4
opens,47
door,48
lobby,16
through,29
elevator,7
holding,26
hands,15
got,34
feeling,8
about,68
this,123
kid,5
ve,36
always,13
loved,6
block,5
finding,4
like,54
partner,3
can,93
take,31
push,2
button,5
doors,9
open,23
how,50
many,6
does,18
thirty,12
three,34
lucky,2
laugh,10
little,40
bad,17
hall,21
moments,31
later,121
opened,2
carol,6
real,7
estate,3
agent,15
worst,3
just,93
left,11
message,7
look,65
dark,9
claustrophobic,1
awful,1
male,3
stands,39
here,55
smiles,67
leave,12
faces,4
shrugs,6
hallway,3
holds,20
get,81
if,42
anything,15
else,13
let,19
know,94
interested,6
do,77
have,103
another,32
market,1
yet,9
care,1
sure,15
more,44
than,10
looking,36
pay,5
much,20
reaches,19
presses,4
ph,2
control,2
panel,2
react,9
penthouse,9
gorgeous,17
pre,4
war,3
empty,10
except,6
light,5
old,12
world,3
style,11
foyer,2
oh,36
so,80
keep,5
god,15
died,2
gone,7
